ano;mes;secretaria;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual_na_secretaria
2022;1;Secretaria de Serviços Públicos e Obras;flexiveis;1680.0;2;2;0.18
2022;1;Secretaria de Urbanismo e Licenciamento;efetivos;726938.9299999999;131;117;76.86
2022;1;Secretaria de Urbanismo e Licenciamento;funcao_confianca;155478.91;22;18;16.44
2022;1;Secretaria de Urbanismo e Licenciamento;comissionados;39761.399999999994;3;3;4.2
2022;1;Secretaria de Urbanismo e Licenciamento;flexiveis;23638.27;26;26;2.5
2022;1;Secretaria do Meio Ambiente, Parques e Jardins;efetivos;356362.93;59;56;67.2
2022;1;Secretaria do Meio Ambiente, Parques e Jardins;funcao_confianca;135188.83000000002;17;16;25.49
2022;1;Secretaria do Meio Ambiente, Parques e Jardins;comissionados;28689.6;2;2;5.41
2022;1;Secretaria do Meio Ambiente, Parques e Jardins;flexiveis;10066.68;12;11;1.9
2022;2;Inativos e Pensionistas (Encargos);inativos;1073968.04;286;286;100.0
2022;2;Secretaria da Cidadania;efetivos;697963.83;139;121;51.93
2022;2;Secretaria da Cidadania;funcao_confianca;405001.17;57;47;30.14
2022;2;Secretaria da Cidadania;flexiveis;157755.84;38;32;11.74
2022;2;Secretaria da Cidadania;comissionados;83220.13;6;5;6.19
2022;2;Secretaria da Educação;efetivos;22352946.54;4625;4590;96.86
2022;2;Secretaria da Educação;funcao_confianca;385322.99;50;40;1.67
2022;2;Secretaria da Educação;flexiveis;311431.57;397;388;1.35
2022;2;Secretaria da Educação;comissionados;28689.6;2;2;0.12
2022;2;Secretaria da Fazenda;efetivos;943406.48;168;138;72.6
2022;2;Secretaria da Fazenda;funcao_confianca;341089.03;52;38;26.25
2022;2;Secretaria da Fazenda;flexiveis;14956.08;14;13;1.15
2022;2;Secretaria da Habitação e Regularização Fundiária;efetivos;99616.85;16;15;51.68
2022;2;Secretaria da Habitação e Regularização Fundiária;funcao_confianca;65081.29;10;9;33.77
2022;2;Secretaria da Habitação e Regularização Fundiária;comissionados;21532.87;2;1;11.17
2022;2;Secretaria da Habitação e Regularização Fundiária;flexiveis;6508.799999999999;6;6;3.38
2022;2;Secretaria da Saúde;efetivos;16798740.75;2424;2117;84.3
2022;2;Secretaria da Saúde;funcao_confianca;2005935.12;172;147;10.07
2022;2;Secretaria da Saúde;flexiveis;1024343.24;114;110;5.14
2022;2;Secretaria da Saúde;comissionados;99304.7;9;7;0.5
2022;2;Secretaria de Administração;efetivos;859222.76;173;144;61.39
2022;2;Secretaria de Administração;funcao_confianca;447463.0;67;55;31.97
2022;2;Secretaria de Administração;comissionados;73583.06;6;6;5.26
2022;2;Secretaria de Administração;flexiveis;19292.88;18;18;1.38
2022;2;Secretaria de Assuntos Jurídicos e Patrimônio;efetivos;1307987.53;113;99;78.81
2022;2;Secretaria de Assuntos Jurídicos e Patrimônio;funcao_confianca;269558.23;35;29;16.24
2022;2;Secretaria de Assuntos Jurídicos e Patrimônio;comissionados;52046.92;4;3;3.14
2022;2;Secretaria de Assuntos Jurídicos e Patrimônio;flexiveis;30055.52;34;27;1.81
2022;2;Secretaria de Comunicação;comissionados;86632.01999999999;8;7;39.45
2022;2;Secretaria de Comunicação;funcao_confianca;74114.57;13;10;33.75
2022;2;Secretaria de Comunicação;efetivos;55283.060000000005;10;7;25.18
2022;2;Secretaria de Comunicação;flexiveis;3543.68;5;4;1.61
2022;2;Secretaria de Cultura;efetivos;208178.49;49;44;63.55
2022;2;Secretaria de Cultura;comissionados;52678.5;5;4;16.08
2022;2;Secretaria de Cultura;funcao_confianca;49099.11;7;6;14.99
2022;2;Secretaria de Cultura;flexiveis;17633.28;20;19;5.38
2022;2;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;efetivos;291394.52999999997;55;46;59.9
2022;2;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;funcao_confianca;118970.65;16;13;24.46
2022;2;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;comissionados;72405.72;7;5;14.88
2022;2;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;flexiveis;3704.3999999999996;4;4;0.76
2022;2;Secretaria de Esportes e Lazer;efetivos;416079.71;62;49;68.17
2022;2;Secretaria de Esportes e Lazer;funcao_confianca;151587.93;23;14;24.84
2022;2;Secretaria de Esportes e Lazer;comissionados;39392.34;3;3;6.45
2022;2;Secretaria de Esportes e Lazer;flexiveis;3254.3999999999996;3;3;0.53
2022;2;Secretaria de Gabinete Central;efetivos;248862.17;39;27;43.3
