ano;mes;regime;folha_total;num_registros;num_matriculas;percentual
2022;3;PROF/EVENT/SUBST/AUTONOMOS   A;1379758.35;1505;1497;2.0
2022;3;MEDICOS PLANTONISTAS/ESTATUT.;1192586.86;61;51;1.73
2022;3;C.L.T./TEMP/HORISTA;983281.48;96;94;1.43
2022;3;ACUMULO DE GRATIF-ESTAT NOVOS;964386.46;76;65;1.4
2022;3;COMISSAO/EXTERNO             S;798548.6499999999;74;69;1.16
2022;3;ESTAGIARIOS;726518.4;695;643;1.05
2022;3;COMIS ESTAT/MENSAL(INCORPORAN);710426.57;71;61;1.03
2022;3;APOS/PENS-CLT/COMPL.INSS     P;565786.2;181;181;0.82
2022;3;ACUMULO DE GRATTIFICACAO-ESTAT;540288.75;36;27;0.78
2022;3;APOS/INAT-CLT/COMPL.INSS     P;500821.52;102;102;0.73
2022;3;COMIS.ESTAT/HOR(INCORP)NOVOS;469029.77;17;14;0.68
2022;3;C.L.T.                     C;396540.61;246;221;0.58
2022;3;AGENTE POLITICO              S;310269.02;17;17;0.45
2022;3;COMIS.ESTAT/HOR(INCORPORANDO);188254.0;6;5;0.27
2022;3;AGENTE HONORIFICO;145421.38;35;32;0.21
2022;3;ACUM FG-ANT.COM.EST.HR.C.ORIG;128815.73999999999;7;4;0.19
2022;3;COMIS ESTAT MENS(CARGO ORIGEM);116010.15;9;6;0.17
2022;3;COMIS. ESTAT. INT. NOVO;44476.47;7;6;0.06
2022;3;AGENTE POLITICO RPPS NOVOS;35235.6;2;2;0.05
2022;3;PREFEITO                     S;29363.01;1;1;0.04
2022;3;C.L.T./PROF/TMP/HORISTA;28591.67;8;8;0.04
2022;3;COMIS ESTAT MENS(ORIGEM) NOVOS;18726.8;2;2;0.03
2022;3;VICE PREFEITO                S;17617.8;1;1;0.03
2022;4;ESTATUTARIOS MEN/ LEI 8336/07;13885517.1;3418;3179;19.16
2022;4;PROF/HOR/ESTAT - LEI 8336/2007;13514870.8;1879;1849;18.65
2022;4;ESTATUTARIO                  E;8018498.83;1001;921;11.07
2022;4;ESTATUTARIO/HORISTAS         E;6629848.5;590;494;9.15
2022;4;ESTAT. HORISTAS/NOVOS 8336/07;6539711.09;873;744;9.03
2022;4;PROF/HORISTAS/ESTATUTARIOS   E;4935612.33;445;439;6.81
2022;4;COMIS.ESTAT/MENSAL NOVOS (INC);4587602.4;546;473;6.33
2022;4;PROF/EVENT/SUBST/AUTONOMOS   A;2270788.83;1745;1712;3.13
2022;4;MED.PLANT.ESTAT -LEI 8336/2007;2228498.09;133;104;3.08
2022;4;MEDICOS PLANTONISTAS/ESTATUT.;1500248.1;70;51;2.07
2022;4;C.L.T./TEMP/HORISTA;1156432.24;96;90;1.6
2022;4;ACUMULO DE GRATIF-ESTAT NOVOS;1020619.89;77;70;1.41
2022;4;COMISSAO/EXTERNO             S;908969.31;76;70;1.25
2022;4;COMIS ESTAT/MENSAL(INCORPORAN);781723.71;68;60;1.08
2022;4;ESTAGIARIOS;742121.6;707;694;1.02
2022;4;APOS/PENS-CLT/COMPL.INSS     P;620211.54;179;179;0.86
2022;4;APOS/INAT-CLT/COMPL.INSS     P;544752.21;99;99;0.75
2022;4;ACUMULO DE GRATTIFICACAO-ESTAT;515756.77999999997;29;26;0.71
2022;4;COMIS.ESTAT/HOR(INCORP)NOVOS;489887.43;15;14;0.68
2022;4;C.L.T.                     C;455240.34;239;218;0.63
2022;4;AGENTE POLITICO              S;320937.58;18;17;0.44
2022;4;AGENTE HONORIFICO;191937.81999999998;39;32;0.26
2022;4;COMIS.ESTAT/HOR(INCORPORANDO);186152.25;5;5;0.26
2022;4;COMIS ESTAT MENS(CARGO ORIGEM);107156.95;6;6;0.15
2022;4;ACUM FG-ANT.COM.EST.HR.C.ORIG;79756.35;4;4;0.11
2022;4;AGENTE POLITICO RPPS NOVOS;58805.81999999999;2;2;0.08
2022;4;COMIS. ESTAT. INT. NOVO;56604.03;7;7;0.08
2022;4;C.L.T./PROF/TMP/HORISTA;44813.7;16;16;0.06
2022;4;PREFEITO                     S;28384.24;1;1;0.04
2022;4;COMIS ESTAT MENS(ORIGEM) NOVOS;21052.36;3;2;0.03
2022;4;VICE PREFEITO                S;17617.8;1;1;0.02
2022;5;ESTATUTARIOS MEN/ LEI 8336/07;14987768.18;3495;3281;19.93
2022;5;PROF/HOR/ESTAT - LEI 8336/2007;14126464.76;1973;1947;18.79
2022;5;ESTATUTARIO                  E;8302270.21;991;913;11.04
2022;5;ESTAT. HORISTAS/NOVOS 8336/07;6827278.31;822;742;9.08
2022;5;ESTATUTARIO/HORISTAS         E;6559665.9;537;489;8.72
2022;5;PROF/HORISTAS/ESTATUTARIOS   E;4975463.08;439;434;6.62
2022;5;COMIS.ESTAT/MENSAL NOVOS (INC);4947567.39;555;470;6.58
2022;5;MED.PLANT.ESTAT -LEI 8336/2007;2273850.93;114;103;3.02
2022;5;PROF/EVENT/SUBST/AUTONOMOS   A;2076217.36;1753;1658;2.76
2022;5;MEDICOS PLANTONISTAS/ESTATUT.;1565388.17;60;51;2.08
2022;5;C.L.T./TEMP/HORISTA;1195203.23;89;88;1.59
2022;5;ACUMULO DE GRATIF-ESTAT NOVOS;1104949.6;88;73;1.47
2022;5;COMISSAO/EXTERNO             S;917321.5;72;69;1.22
2022;5;COMIS ESTAT/MENSAL(INCORPORAN);848648.9;74;59;1.13
2022;5;ESTAGIARIOS;799432.65;783;768;1.06
2022;5;APOS/PENS-CLT/COMPL.INSS     P;620008.03;182;182;0.82
2022;5;COMIS.ESTAT/HOR(INCORP)NOVOS;547767.16;17;16;0.73
2022;5;APOS/INAT-CLT/COMPL.INSS     P;541966.72;105;105;0.72
2022;5;ACUMULO DE GRATTIFICACAO-ESTAT;496922.57;29;25;0.66
2022;5;C.L.T.                     C;445014.97000000003;219;205;0.59
2022;5;AGENTE POLITICO              S;281884.8;16;16;0.37
2022;5;AGENTE HONORIFICO;173809.00999999998;35;31;0.23
2022;5;COMIS.ESTAT/HOR(INCORPORANDO);161161.84;4;4;0.21
2022;5;COMIS ESTAT MENS(CARGO ORIGEM);100459.54000000001;6;6;0.13
2022;5;ACUM FG-ANT.COM.EST.HR.C.ORIG;82009.17;4;4;0.11
2022;5;COMIS. ESTAT. INT. NOVO;58026.62;7;7;0.08
2022;5;C.L.T./PROF/TMP/HORISTA;55079.119999999995;15;15;0.07
2022;5;COMIS ESTAT MENS(ORIGEM) NOVOS;44458.85;2;2;0.06
2022;5;AGENTE POLITICO RPPS NOVOS;35235.6;2;2;0.05
2022;5;PREFEITO                     S;29363.01;1;1;0.04
2022;5;VICE PREFEITO                S;17617.8;1;1;0.02
2022;6;ESTATUTARIOS MEN/ LEI 8336/07;14920598.71;3514;3288;19.93
