secretaria_canonica,faixa_tempo,n,folha_media,folha_mediana
Secretaria de Gabinete Central,16-20 anos,17,15571.29,15818.46
Secretaria de Gabinete Central,21-25 anos,2,26352.38,26352.38
Secretaria de Gabinete Central,26-30 anos,1,25590.1,25590.1
Secretaria de Gabinete Central,30+ anos,4,28252.06,23937.5
Secretaria de Governo,0-5 anos,59,10035.36,8441.13
Secretaria de Governo,6-10 anos,12,8353.57,8830.67
Secretaria de Governo,11-15 anos,32,17286.89,15666.52
Secretaria de Governo,16-20 anos,12,15139.78,15080.87
Secretaria de Governo,21-25 anos,1,24196.95,24196.95
Secretaria de Governo,26-30 anos,2,11965.01,11965.01
Secretaria de Governo,30+ anos,2,24991.69,24991.69
Secretaria de Inclusão e Transtorno do Espectro Autista,0-5 anos,6,9965.08,9965.08
Secretaria de Inclusão e Transtorno do Espectro Autista,11-15 anos,3,14719.81,12179.75
Secretaria de Inclusão e Transtorno do Espectro Autista,16-20 anos,3,12997.37,11932.33
Secretaria de Mobilidade,0-5 anos,44,6357.14,5050.32
Secretaria de Mobilidade,6-10 anos,5,1825.61,1084.8
Secretaria de Mobilidade,11-15 anos,11,9652.76,12085.13
Secretaria de Mobilidade,16-20 anos,4,15967.39,14871.5
Secretaria de Mobilidade,21-25 anos,1,9101.17,9101.17
Secretaria de Mobilidade,26-30 anos,5,15794.57,14904.24
Secretaria de Mobilidade,30+ anos,3,15628.57,17712.49
Secretaria de Parcerias,0-5 anos,34,9228.93,9457.52
Secretaria de Parcerias,6-10 anos,3,5750.09,1084.8
Secretaria de Parcerias,11-15 anos,8,11430.7,12281.49
Secretaria de Parcerias,16-20 anos,8,15574.79,16233.49
Secretaria de Planejamento e Desenvolvimento Urbano,0-5 anos,75,7055.14,6867.08
Secretaria de Planejamento e Desenvolvimento Urbano,6-10 anos,21,6914.36,6995.78
Secretaria de Planejamento e Desenvolvimento Urbano,11-15 anos,37,11336.19,11998.36
Secretaria de Planejamento e Desenvolvimento Urbano,16-20 anos,29,10881.46,10096.26
Secretaria de Planejamento e Desenvolvimento Urbano,26-30 anos,5,16444.46,8192.73
Secretaria de Planejamento e Desenvolvimento Urbano,30+ anos,11,20121.87,18760.08
Secretaria de Recursos Humanos,0-5 anos,44,6449.19,5527.77
Secretaria de Recursos Humanos,6-10 anos,20,9643.62,8554.33
Secretaria de Recursos Humanos,11-15 anos,37,9904.37,9300.34
Secretaria de Recursos Humanos,16-20 anos,26,14685.39,14209.88
Secretaria de Recursos Humanos,21-25 anos,1,81326.51,81326.51
Secretaria de Relações Institucionais e Metropolitanas,6-10 anos,1,11309.0,11309.0
Secretaria de Relações Institucionais e Metropolitanas,11-15 anos,3,18539.93,17181.42
Secretaria de Relações Institucionais e Metropolitanas,16-20 anos,2,8946.53,8946.53
Secretaria de Relações Institucionais e Metropolitanas,26-30 anos,1,20215.57,20215.57
Secretaria de Relações do Trabalho e Qualificação Profissional,0-5 anos,21,7438.13,4449.86
Secretaria de Relações do Trabalho e Qualificação Profissional,6-10 anos,7,5454.6,4638.57
Secretaria de Relações do Trabalho e Qualificação Profissional,11-15 anos,4,11988.92,12836.93
Secretaria de Relações do Trabalho e Qualificação Profissional,16-20 anos,2,4898.55,4898.55
Secretaria de Relações do Trabalho e Qualificação Profissional,30+ anos,2,31073.86,31073.86
Secretaria de Segurança Urbana,0-5 anos,292,6490.6,6553.81
Secretaria de Segurança Urbana,6-10 anos,9,2583.75,1084.8
Secretaria de Segurança Urbana,11-15 anos,72,9838.03,10165.34
Secretaria de Segurança Urbana,16-20 anos,4,10847.45,10403.15
Secretaria de Segurança Urbana,21-25 anos,59,14641.11,13925.06
Secretaria de Segurança Urbana,26-30 anos,66,17175.73,16418.6
Secretaria de Segurança Urbana,30+ anos,72,14070.99,14538.74
Secretaria de Serviços Públicos e Obras,0-5 anos,58,8559.0,5807.64
Secretaria de Serviços Públicos e Obras,6-10 anos,3,8312.04,5177.32
Secretaria de Serviços Públicos e Obras,11-15 anos,50,8169.48,5966.25
Secretaria de Serviços Públicos e Obras,16-20 anos,7,15395.22,16310.05
Secretaria de Serviços Públicos e Obras,21-25 anos,1,26078.65,26078.65
Secretaria de Serviços Públicos e Obras,30+ anos,22,13053.62,9418.96
Secretaria de Turismo,0-5 anos,12,9821.04,9423.7
Secretaria de Turismo,6-10 anos,1,14958.42,14958.42
Secretaria de Turismo,11-15 anos,1,14244.32,14244.32
Secretaria de Turismo,16-20 anos,1,15686.79,15686.79
"Secretaria do Meio Ambiente, Parques e Jardins",0-5 anos,49,6866.09,6430.75
"Secretaria do Meio Ambiente, Parques e Jardins",6-10 anos,13,6999.72,5889.67
"Secretaria do Meio Ambiente, Parques e Jardins",11-15 anos,38,11493.62,11443.52
"Secretaria do Meio Ambiente, Parques e Jardins",16-20 anos,16,12804.11,13417.31
"Secretaria do Meio Ambiente, Parques e Jardins",30+ anos,11,21394.0,20966.55
