tipo,local_canonico,sigla_secretaria,secretaria,efetivo,folha_total,folha_media,ticket_medio
Setor,Policlínica — Médicos,SES,Secretaria da Saúde,83,1667377.93,20088.89,20088.89
Setor,SAMU — Enfermagem,SES,Secretaria da Saúde,74,860742.62,11631.66,11631.66
Setor,Divisão de Proteção Social Especial,SECID,Secretaria da Cidadania,64,546999.15,8546.86,8546.86
Setor,Transporte de Pacientes — Motoristas,SES,Secretaria da Saúde,61,390837.16,6407.17,6407.17
Setor,Divisão de Avaliação e Controle,SES,Secretaria da Saúde,57,763159.46,13388.76,13388.76
Setor,Divisão de Vigilância Sanitária,SES,Secretaria da Saúde,55,457377.92,8315.96,8315.96
Setor,SAMU — Motoristas,SES,Secretaria da Saúde,52,400475.78,7701.46,7701.46
Setor,D. Manut de Prop E. Ip,SERPO,Secretaria de Serviços Públicos e Obras,50,368303.9,7366.08,7366.08
Setor,Policlínica — Administrativo Especializado,SES,Secretaria da Saúde,50,377405.62,7548.11,7548.11
Setor,Divisão de Vigilância Epidemiológica,SES,Secretaria da Saúde,48,821955.59,17124.07,17124.07
Setor,D. Licenc E. Controle,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,47,475735.28,10122.03,10122.03
Setor,Acamados Med Familia,SES,Secretaria da Saúde,47,622038.82,13234.87,13234.87
Setor,D. Gestao de Tecn da Inf,SGC,Secretaria de Gabinete Central,45,437758.58,9727.97,9727.97
Setor,SAMU — Telefonistas,SES,Secretaria da Saúde,42,221907.02,5283.5,5283.5
Setor,D. Fisc Post Mob Imob,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,41,339062.91,8269.83,8269.83
Setor,Proc Tributaria,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,40,577291.65,14432.29,14432.29
Setor,Serh - D. Segur Saude Ocup,,,38,477694.25,12570.9,12570.9
Setor,Policlínica — Enfermagem,SES,Secretaria da Saúde,38,430849.5,11338.14,11338.14
Setor,Segov - Gabinete,,,31,624189.96,20135.16,20135.16
Setor,D. Fisc Tribut Mob,SEFAZ,Secretaria da Fazenda,30,548226.33,18274.21,18274.21
Setor,SAMU — Médicos,SES,Secretaria da Saúde,30,1026618.94,34220.63,34220.63
Setor,D. Cadastro Tribut,SEFAZ,Secretaria da Fazenda,28,260240.49,9294.3,9294.3
Setor,Policlínica — Odontologia,SES,Secretaria da Saúde,28,445396.71,15907.03,15907.03
Setor,D. Fisc Tribut Imob,SEFAZ,Secretaria da Fazenda,28,411621.66,14700.77,14700.77
Setor,Secom - Gabinete,,,28,359571.22,12841.83,12841.83
Setor,D. Licenc E. Fisc Ambiental,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",28,217349.88,7762.5,7762.5
Setor,Proc Contenciosos,SEJ,Secretaria de Assuntos Jurídicos e Patrimônio,27,485413.78,17978.29,17978.29
Setor,Segov - D. Procon,,,26,263709.71,10142.68,10142.68
Setor,D. Fisc Areas Publicas,SEPLAN,Secretaria de Planejamento e Desenvolvimento Urbano,25,251166.66,10046.67,10046.67
Setor,D. Gerenciamento Viario,SERPO,Secretaria de Serviços Públicos e Obras,24,255396.63,10641.53,10641.53
Setor,D. Zoologico E. Bem-estar Animal,SEMA,"Secretaria do Meio Ambiente, Parques e Jardins",22,236998.05,10772.64,10772.64
Setor,D. Educ Especial,SEDUC,Secretaria da Educação,22,289797.44,13172.61,13172.61
Setor,D. Adm de Convenios,SES,Secretaria da Saúde,22,167760.14,7625.46,7625.46
Setor,D. Gestao Ctle Convenios,SEDUC,Secretaria da Educação,20,162609.3,8130.47,8130.46
Setor,D. Adm Atencao A Saude,SES,Secretaria da Saúde,20,453771.49,22688.57,22688.57
Setor,Serh - D. Cadastro Funcional,,,20,155546.97,7777.35,7777.35
Setor,Serh - D. Adm Pagamentos,,,20,193786.18,9689.31,9689.31
Setor,D. Obras Manut Esc E. Apoio Log,SEDUC,Secretaria da Educação,19,127226.99,6696.16,6696.16
Setor,D. Ap Tec Pedagogico,SEDUC,Secretaria da Educação,19,281177.48,14798.81,14798.81
Setor,D. Adm E. Gestao,SES,Secretaria da Saúde,19,198369.39,10440.49,10440.49
Setor,Semepp - D. Pol Prog E. Acoes de Apoio,,,19,166634.04,8770.21,8770.21
Setor,D. Politicas Pessoas Situacao Rua,SECID,Secretaria da Cidadania,18,188128.58,10451.59,10451.59
Setor,D. Gestao do Suas,SECID,Secretaria da Cidadania,18,148116.86,8228.71,8228.71
Setor,D. Adm E. Serv Internos,SEMOB,Secretaria de Mobilidade,18,114980.19,6387.79,6387.79
Setor,Sead - D. Licitacoes,,,17,260539.57,15325.86,15325.86
Setor,Sead - D. Contratos de Licitacao,,,17,118107.96,6947.53,6947.53
Setor,D. Fiscalizacao,SEMOB,Secretaria de Mobilidade,16,164601.51,10287.59,10287.59
Setor,Sead - D. Adm Materiais,,,16,130738.18,8171.14,8171.14
Setor,Sead - D. Arq Pub Hist Mun,,,16,156789.57,9799.35,9799.35
Setor,D. Mat Med Hosp Farm,SES,Secretaria da Saúde,15,127720.78,8514.72,8514.72
Setor,D. Infraestrutura,SGC,Secretaria de Gabinete Central,14,167178.82,11941.34,11941.34
Setor,D. Educ Basica,SEDUC,Secretaria da Educação,14,130583.56,9327.4,9327.4
Setor,Serh - D. Desenv Pessoas,,,14,136709.3,9764.95,9764.95
