ano;mes;regime_grupo;regime_subgrupo;folha_total;num_registros;num_matriculas;percentual
2023;1;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6526385.35;627;565;8.04
2023;1;Temporarios, estagiarios e eventuais;flexiveis;2951158.34;1964;1883;3.64
2023;1;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1229597.47;102;86;1.52
2023;1;Inativos e pensionistas;inativos;1074409.09;265;265;1.32
2023;2;Efetivos e empregados publicos (carreira);efetivos;70101479.81;8971;8209;84.3
2023;2;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8106694.82;654;566;9.75
2023;2;Temporarios, estagiarios e eventuais;flexiveis;2485677.19;1173;1083;2.99
2023;2;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1407068.05;98;85;1.69
2023;2;Inativos e pensionistas;inativos;1051653.75;262;262;1.26
2023;3;Efetivos e empregados publicos (carreira);efetivos;77435417.24;9319;8491;84.22
2023;3;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7852147.48;658;566;8.54
2023;3;Temporarios, estagiarios e eventuais;flexiveis;3905027.53;2426;2350;4.25
2023;3;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1422420.27;99;90;1.55
2023;3;Inativos e pensionistas;inativos;1324152.49;265;261;1.44
2023;4;Efetivos e empregados publicos (carreira);efetivos;65902879.55;13582;8543;81.98
2023;4;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6889461.7;787;560;8.57
2023;4;Temporarios, estagiarios e eventuais;flexiveis;5092857.16;2997;2952;6.33
2023;4;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1407162.6;107;102;1.75
2023;4;Inativos e pensionistas;inativos;1101448.93;259;259;1.37
2023;5;Efetivos e empregados publicos (carreira);efetivos;66577196.27;9370;8731;82.61
2023;5;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6730471.69;636;561;8.35
2023;5;Temporarios, estagiarios e eventuais;flexiveis;4479240.13;2871;2792;5.56
2023;5;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1696338.3;121;115;2.1
2023;5;Inativos e pensionistas;inativos;1105512.14;259;259;1.37
2023;6;Efetivos e empregados publicos (carreira);efetivos;69342608.72;9387;8861;82.71
2023;6;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;6913513.6;634;559;8.25
2023;6;Temporarios, estagiarios e eventuais;flexiveis;4864065.46;2971;2914;5.8
2023;6;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1615332.36;118;113;1.93
2023;6;Inativos e pensionistas;inativos;1098702.99;258;258;1.31
2023;7;Efetivos e empregados publicos (carreira);efetivos;71966795.23;9745;8844;82.44
2023;7;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7542830.13;696;550;8.64
2023;7;Temporarios, estagiarios e eventuais;flexiveis;4884926.9799999995;2849;2775;5.6
2023;7;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1746607.07;134;116;2.0
2023;7;Inativos e pensionistas;inativos;1152274.68;255;255;1.32
2023;8;Efetivos e empregados publicos (carreira);efetivos;75571652.94;9779;8974;84.22
2023;8;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7120411.06;640;541;7.94
2023;8;Temporarios, estagiarios e eventuais;flexiveis;4041038.7199999997;2588;2558;4.5
2023;8;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1832752.57;130;121;2.04
2023;8;Inativos e pensionistas;inativos;1161938.56;254;254;1.29
2023;9;Efetivos e empregados publicos (carreira);efetivos;74534817.33;9640;8939;83.17
2023;9;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7313319.01;619;545;8.16
2023;9;Temporarios, estagiarios e eventuais;flexiveis;4898827.96;2867;2814;5.47
2023;9;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1737553.27;125;118;1.94
2023;9;Inativos e pensionistas;inativos;1137175.02;252;251;1.27
2023;10;Efetivos e empregados publicos (carreira);efetivos;74474539.65;9461;8918;83.23
2023;10;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7201087.77;619;546;8.05
2023;10;Temporarios, estagiarios e eventuais;flexiveis;4868264.8;2842;2796;5.44
2023;10;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1817341.71;124;120;2.03
2023;10;Inativos e pensionistas;inativos;1124277.81;251;249;1.26
2023;11;Efetivos e empregados publicos (carreira);efetivos;98363183.73;9792;9007;81.81
2023;11;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;9953868.72;626;540;8.28
2023;11;Temporarios, estagiarios e eventuais;flexiveis;7794857.18;2821;2771;6.48
2023;11;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2471506.2199999997;125;119;2.06
2023;11;Inativos e pensionistas;inativos;1656643.98;249;248;1.38
2023;12;Efetivos e empregados publicos (carreira);efetivos;145237583.88;27115;8992;85.76
2023;12;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;14015353.19;1747;541;8.28
2023;12;Temporarios, estagiarios e eventuais;flexiveis;4545019.61;2833;2686;2.68
2023;12;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;3212239.94;353;118;1.9
2023;12;Inativos e pensionistas;inativos;2338707.64;694;254;1.38
2024;1;Efetivos e empregados publicos (carreira);efetivos;82647087.64;13307;8724;85.7
2024;1;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7880592.55;615;543;8.17
2024;1;Temporarios, estagiarios e eventuais;flexiveis;2972936.44;2304;2243;3.08
2024;1;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1815825.98;127;118;1.88
2024;1;Inativos e pensionistas;inativos;1120139.24;245;245;1.16
2024;2;Efetivos e empregados publicos (carreira);efetivos;75441273.69;9532;8925;86.12
2024;2;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7995453.78;625;540;9.13
2024;2;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1843015.36;138;125;2.1
2024;2;Temporarios, estagiarios e eventuais;flexiveis;1211709.96;1176;1139;1.38
2024;2;Inativos e pensionistas;inativos;1112014.74;248;248;1.27
2024;3;Efetivos e empregados publicos (carreira);efetivos;93831201.81;9581;8960;85.83
2024;3;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8984818.19;619;545;8.22
2024;3;Temporarios, estagiarios e eventuais;flexiveis;3190566.4;2501;2477;2.92
2024;3;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2069890.66;134;128;1.89
2024;3;Inativos e pensionistas;inativos;1249543.15;247;247;1.14
2024;4;Efetivos e empregados publicos (carreira);efetivos;82381118.92;9834;8968;81.55
2024;4;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8324970.82;628;541;8.24
2024;4;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;4947844.68;236;231;4.9
2024;4;Temporarios, estagiarios e eventuais;flexiveis;4211561.14;3094;3024;4.17
2024;4;Inativos e pensionistas;inativos;1147594.79;258;246;1.14
2024;5;Efetivos e empregados publicos (carreira);efetivos;82555775.64;9594;8973;83.5
2024;5;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7813667.58;598;532;7.9
2024;5;Temporarios, estagiarios e eventuais;flexiveis;5285002.03;3333;3233;5.35
2024;5;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2089274.73;144;137;2.11
2024;5;Inativos e pensionistas;inativos;1127065.15;245;241;1.14
2024;6;Efetivos e empregados publicos (carreira);efetivos;81429562.59;9621;9022;83.24
2024;6;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8231596.58;623;542;8.41
2024;6;Temporarios, estagiarios e eventuais;flexiveis;5058191.39;3255;3200;5.17
2024;6;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1975335.92;138;135;2.02
2024;6;Inativos e pensionistas;inativos;1126123.12;241;241;1.15
2024;7;Efetivos e empregados publicos (carreira);efetivos;83189251.11;10462;9007;83.3
2024;7;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;8208271.11;687;537;8.22
2024;7;Temporarios, estagiarios e eventuais;flexiveis;5245505.86;3268;3221;5.25
2024;7;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2110814.98;147;144;2.11
2024;7;Inativos e pensionistas;inativos;1110933.42;237;237;1.11
2024;8;Efetivos e empregados publicos (carreira);efetivos;80982609.15;9787;9054;84.96
2024;8;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7667087.63;632;537;8.04
2024;8;Temporarios, estagiarios e eventuais;flexiveis;3505116.56;2928;2814;3.68
2024;8;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2061352.43;140;136;2.16
2024;8;Inativos e pensionistas;inativos;1101651.31;235;235;1.16
2024;9;Efetivos e empregados publicos (carreira);efetivos;81731673.36;9761;9070;83.54
2024;9;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7911731.1;624;538;8.09
2024;9;Temporarios, estagiarios e eventuais;flexiveis;5284052.07;3296;3250;5.4
2024;9;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1787607.94;123;117;1.83
2024;9;Inativos e pensionistas;inativos;1122335.64;234;234;1.15
2024;10;Efetivos e empregados publicos (carreira);efetivos;82271599.96;9657;9055;83.51
2024;10;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;7599191.96;593;533;7.71
2024;10;Temporarios, estagiarios e eventuais;flexiveis;5700773.12;3376;3334;5.79
2024;10;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;1828190.53;135;134;1.86
2024;10;Inativos e pensionistas;inativos;1116450.53;232;232;1.13
2024;11;Efetivos e empregados publicos (carreira);efetivos;140315998.57;18473;9039;85.12
2024;11;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;13783971.56;1131;533;8.36
2024;11;Temporarios, estagiarios e eventuais;flexiveis;5818016.12;3411;3220;3.53
2024;11;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2972783.31;256;134;1.8
2024;11;Inativos e pensionistas;inativos;1951563.9;436;231;1.18
2024;12;Efetivos e empregados publicos (carreira);efetivos;149284881.01;18912;9015;85.46
2024;12;Efetivos em funcao de confianca (sobre vinculo de carreira);funcao_confianca;14467348.99;1202;538;8.28
2024;12;Temporarios, estagiarios e eventuais;flexiveis;5901344.88;3244;3140;3.38
2024;12;Comissionados e agentes politicos (sem vinculo de carreira);comissionados;2869304.6999999997;257;130;1.64
2024;12;Inativos e pensionistas;inativos;2164432.86;429;228;1.24
2025;1;Efetivos e empregados publicos (carreira);efetivos;91311379.18;13822;9000;87.03
