secretaria;escolaridade_canonica;num_registros;num_matriculas;folha_total;folha_media;folha_mediana
Secretaria de Parcerias;Medio completo;76;6;602017.92;7921.288421052632;8986.63
Secretaria de Parcerias;Superior incompleto;176;19;182211.44;1035.2922727272728;1084.8
Secretaria de Parcerias;Superior completo;847;49;9060005.66;10696.582833530107;9690.7
Secretaria de Parcerias;Pos-graduacao;92;5;1233828.79;13411.1825;14384.28
Secretaria de Planejamento e Desenvolvimento Urbano;Fundamental completo;128;4;571598.46;4465.61296875;4490.535
Secretaria de Planejamento e Desenvolvimento Urbano;Medio completo;2615;79;16498715.47;6309.260217973231;5491.16
Secretaria de Planejamento e Desenvolvimento Urbano;Superior incompleto;1547;131;2109318.84;1363.4898771816418;1084.8
Secretaria de Planejamento e Desenvolvimento Urbano;Superior completo;5442;146;51223729.0;9412.66611539875;8738.95
Secretaria de Planejamento e Desenvolvimento Urbano;Pos-graduacao;610;16;8505631.33;13943.657918032786;12436.81
Secretaria de Planejamento e Desenvolvimento Urbano;Mestrado;3;1;39248.409999999996;13082.803333333331;13805.07
Secretaria de Recursos Humanos;Fundamental completo;6;1;6139.44;1023.2399999999999;1084.8
Secretaria de Recursos Humanos;Medio incompleto;33;4;30671.76;929.4472727272727;1084.8
Secretaria de Recursos Humanos;Medio completo;1887;77;7574832.53;4014.219676735559;4135.71
Secretaria de Recursos Humanos;Superior incompleto;755;71;2577919.33;3414.462688741722;1084.8
Secretaria de Recursos Humanos;Superior completo;4352;115;35114749.97;8068.646592371323;7435.325
Secretaria de Recursos Humanos;Pos-graduacao;1240;26;14316161.42;11545.291467741936;9621.01
Secretaria de Recursos Humanos;Doutorado;78;1;687948.52;8819.85282051282;7484.65
Secretaria de Relações Institucionais e Metropolitanas;Superior completo;698;40;8176082.73;11713.585573065904;11671.475
Secretaria de Relações Institucionais e Metropolitanas;Pos-graduacao;95;4;1148771.52;12092.331789473685;12258.38
Secretaria de Relações do Trabalho e Qualificação Profissional;Fundamental completo;40;1;116826.88;2920.672;3138.13
Secretaria de Relações do Trabalho e Qualificação Profissional;Medio incompleto;3;1;2518.08;839.36;1084.8
Secretaria de Relações do Trabalho e Qualificação Profissional;Medio completo;321;16;1112546.77;3465.877788161994;3787.69
Secretaria de Relações do Trabalho e Qualificação Profissional;Superior incompleto;472;46;895801.41;1897.8843432203391;1084.8
