secretaria_canonica,faixa_tempo,n,folha_media,folha_mediana
Município (todas as secretarias),0-5 anos,5410,5812.81,4599.99
Município (todas as secretarias),6-10 anos,1894,7176.19,5579.04
Município (todas as secretarias),11-15 anos,3284,9289.63,7602.6
Município (todas as secretarias),16-20 anos,1858,12754.86,11819.19
Município (todas as secretarias),21-25 anos,760,13261.67,12999.53
Município (todas as secretarias),26-30 anos,181,15488.92,15685.39
Município (todas as secretarias),30+ anos,378,13764.24,11123.51
