secretaria;escolaridade_canonica;regime_subgrupo;num_registros;num_matriculas;folha_total
Secretaria de Turismo;Superior incompleto;flexiveis;39;7;39391.92
Secretaria de Turismo;Superior completo;comissionados;102;9;1598836.6700000002
Secretaria de Turismo;Superior completo;efetivos;50;5;527318.99
Secretaria de Turismo;Superior completo;funcao_confianca;25;4;241748.51
Secretaria de Turismo;Pos-graduacao;funcao_confianca;23;1;296779.43
Secretaria de Turismo;Pos-graduacao;efetivos;21;1;231606.21
Secretaria de Turismo;Pos-graduacao;comissionados;1;1;21293.36
Secretaria de Urbanismo e Licenciamento;Fundamental completo;efetivos;30;3;110940.25
Secretaria de Urbanismo e Licenciamento;Medio completo;efetivos;487;40;2465567.23
Secretaria de Urbanismo e Licenciamento;Superior incompleto;flexiveis;323;52;343541.47
Secretaria de Urbanismo e Licenciamento;Superior incompleto;efetivos;47;3;156850.26
Secretaria de Urbanismo e Licenciamento;Superior completo;efetivos;992;88;6779742.41
Secretaria de Urbanismo e Licenciamento;Superior completo;funcao_confianca;317;28;2855746.37
Secretaria de Urbanismo e Licenciamento;Superior completo;comissionados;53;5;697610.13
Secretaria de Urbanismo e Licenciamento;Superior completo;flexiveis;38;4;39296.56
Secretaria de Urbanismo e Licenciamento;Pos-graduacao;efetivos;136;11;1787840.82
Secretaria de Urbanismo e Licenciamento;Pos-graduacao;funcao_confianca;22;2;187892.94999999998
Secretaria de Urbanismo e Licenciamento;Mestrado;efetivos;15;1;145945.63
Secretaria de Urbanismo e Licenciamento;Doutorado;efetivos;3;1;49067.89
Secretaria do Meio Ambiente, Parques e Jardins;Sem escolaridade formal registrada;efetivos;122;3;685031.04
Secretaria do Meio Ambiente, Parques e Jardins;Fundamental incompleto;efetivos;138;2;763943.79
Secretaria do Meio Ambiente, Parques e Jardins;Fundamental completo;efetivos;282;6;1424403.14
Secretaria do Meio Ambiente, Parques e Jardins;Medio incompleto;efetivos;25;1;188335.02
Secretaria do Meio Ambiente, Parques e Jardins;Medio completo;efetivos;778;36;4088446.27
Secretaria do Meio Ambiente, Parques e Jardins;Medio completo;funcao_confianca;23;4;179730.54
Secretaria do Meio Ambiente, Parques e Jardins;Superior incompleto;flexiveis;1063;106;1078975.64
Secretaria do Meio Ambiente, Parques e Jardins;Superior incompleto;efetivos;200;6;731940.8
Secretaria do Meio Ambiente, Parques e Jardins;Superior incompleto;funcao_confianca;76;4;573676.4
Secretaria do Meio Ambiente, Parques e Jardins;Superior completo;efetivos;2846;93;27294521.61
Secretaria do Meio Ambiente, Parques e Jardins;Superior completo;funcao_confianca;1203;43;12627772.790000001
Secretaria do Meio Ambiente, Parques e Jardins;Superior completo;comissionados;279;39;3968806.92
Secretaria do Meio Ambiente, Parques e Jardins;Pos-graduacao;efetivos;249;7;2049980.08
Secretaria do Meio Ambiente, Parques e Jardins;Pos-graduacao;funcao_confianca;122;5;1089009.6
Secretaria do Meio Ambiente, Parques e Jardins;Pos-graduacao;comissionados;10;1;167534.56
Secretaria do Meio Ambiente, Parques e Jardins;Mestrado;efetivos;226;4;1962245.74
Secretaria do Meio Ambiente, Parques e Jardins;Doutorado;efetivos;146;2;1904545.53
