ano;mes;secretaria;folha_total;folha_liquida;num_registros;num_matriculas;ticket_medio
2026;3;Secretaria de Parcerias;641123.81;473833.95;65;53;12096.68
2026;3;Secretaria de Mobilidade;595905.35;399286.44;62;59;10100.09
2026;3;Secretaria de Cultura;536996.56;380225.39;72;68;7897.01
2026;3;Secretaria de Comunicação;471018.76;359734.09;35;30;15700.63
2026;3;Secretaria da Habitação e Regularização Fundiária;451768.39;334984.16;38;35;12907.67
2026;3;Secretaria de Relações do Trabalho e Qualificação Profissional;416928.74;285931.36;52;48;8686.02
2026;3;Chefia do Poder Executivo;268107.23;173626.15;11;11;24373.38
2026;3;Secretaria de Empreendedorismo da Micro e Pequena Empresa;250400.65;169610.58;23;22;11381.85
2026;3;Secretaria da Mulher;202950.09;133941.75;11;10;20295.01
2026;3;Secretaria de Relações Institucionais e Metropolitanas;182864.23;123244.97;13;11;16624.02
2026;3;Secretaria de Desenvolvimento Econômico, Trabalho e Turismo;172237.85;122776.04000000001;16;16;10764.87
2026;3;Secretaria de Turismo;160365.58;117878.23;13;12;13363.8
2026;3;Secretaria de Inclusão e Transtorno do Espectro Autista;155471.16999999998;107476.33;11;11;14133.74
2026;4;Secretaria da Educação;55398579.66;35989175.59;8482;8199;6756.75
2026;4;Secretaria da Saúde;32711913.77;21937009.64;3172;2767;11822.16
2026;4;Secretaria de Segurança Urbana;5095531.69;3338678.01;484;449;11348.62
2026;4;Secretaria da Cidadania;2852787.35;1972880.43;332;289;9871.24
2026;4;Secretaria de Assuntos Jurídicos e Patrimônio;2333930.86;1557036.67;143;122;19130.58
2026;4;Secretaria da Fazenda;2075365.7;1404628.81;187;160;12971.04
2026;4;Secretaria de Planejamento e Desenvolvimento Urbano;1877682.65;1298200.04;199;177;10608.38
2026;4;Secretaria de Gabinete Central;1766919.73;1262875.92;173;146;12102.19
2026;4;Secretaria de Administração;1601932.01;1165696.54;170;149;10751.22
2026;4;Secretaria de Serviços Públicos e Obras;1533787.71;1079996.21;158;142;10801.32
2026;4;Secretaria de Governo;1521827.26;1108323.83;133;124;12272.8
2026;4;Secretaria do Meio Ambiente, Parques e Jardins;1459137.25;1035586.79;151;131;11138.45
